"nama","kode_rs","tempat_tidur","telepon","lat","lon","alamat","tipe","wilayah","propinsi"
"RS GIRI EMAS","5108079",45,"(0362) 3303884",-8.081936,115.143762,"JL. RAYA SANGSIT, DESA GIRI EMAS KECAMATAN SAWAN KABUPATEN BULELENG","RS_RUJUKAN_PROVINSI","BULELENG, BALI","BALI"
"RS UMUM DAERAH TIAKUR","8108002",30,"",-8.1934557432825,127.86504079532,"TIAKUR","RS_RUJUKAN_PROVINSI","MALUKU BARAT DAYA, MALUKU","MALUKU"
"RUMAH SAKIT UMUM DAERAH DR. HENDRIKUS FERNANDEZ LA","5309012",113,"(0383)21836",-8.3464,122.979,"JL. JEND. SUDIRMAN NO. 33 KEL. SAROTARI TENGAH LARANTUKA FLORES TIMUR","RS_RUJUKAN_PROVINSI","FLORES TIMUR, NUSA TENGGARA TIMUR","NUSA TENGGARA TIMUR"
"RS UMUM DAERAH RUPIT KABUPATEN MUSI RAWAS UTARA","1605043",75,"",-2.69795,102.900337,"JL. KESEHATAN NO NO.01, LAWANG AGUNG, RUPIT, MUSI RAWAS UTARA, SUMATERA SELATAN 31654","RS_RUJUKAN_PROVINSI","MUSI RAWAS UTARA, SUMATERA SELATAN","SUMATERA SELATAN"
"RS UMUM DAERAH  RAJA MUSA","1403024",41,"0813-7279-3776",0.291344,103.624462,"JL. TUNAS HARAPAN, TAGARAJA, KATEMAN, KABUPATEN INDRAGIRI HILIR, RIAU 29255","RS_RUJUKAN_PROVINSI","INDRAGIRI HILIR, RIAU","RIAU"
"RS UMUM DAERAH CENDRAWASIH DOBO","8105019",89,"(0917) 21366",-5.787909,134.211873,"JL. CENDRAWASIH KM. 6, SIWALIMA, PULAU-PULAU ARU, KABUPATEN KEPULAUAN ARU, MALUKU","RS_RUJUKAN_PROVINSI","KEPULAUAN ARU, MALUKU","MALUKU"
"RS UMUM DAERAH ENDE","5311013",145,"(0381) 22026",-8.854,121.654,"JL. PROF DR. WZ.JOHANES ENDE","RS_RUJUKAN_PROVINSI","ENDE, NUSA TENGGARA TIMUR","NUSA TENGGARA TIMUR"
"RS UMUM DAERAH ZAINAL ABIDIN PAGAR ALAM","1807014",65,"",-4.588787,104.53063,"JL. LINTAS TENGAH SUMATERA, NEGERI BARU, BLAMBANGAN UMPU, KABUPATEN WAY KANAN, LAMPUNG 34764","RS_RUJUKAN_PROVINSI","WAY KANAN, LAMPUNG","LAMPUNG"
"RS UMUM DAERAH SITI AISYAH KOTA LUBUK LINGGAU","1674032",134,"(0733) 451604",-3.27173,102.915523,"TIMUR 1, JL. LAPTER SILAMPARI NO.20, AIR KUTI, LUBUK LINGGAU TIM. I, KOTA LUBUKLINGGAU, SUMATERA SELATAN 31625","RS_RUJUKAN_PROVINSI","KOTA LUBUKLINGGAU, SUMATERA SELATAN","SUMATERA SELATAN"
"RSUD KAB. BURU","8103020",89,"",-3.22345,127.101347,"JL. BUTUNG LEONG NO. 1 DESA LALA, NAMLEA, KAB.BURU, MALUKU","RS_RUJUKAN_PROVINSI","BURU, MALUKU","MALUKU"
"RS UMUM DAERAH SULTAN ISKANDAR MUDA NAGAN RAYA","1115012",131,"(0651) 75553494",4.13144,96.4892,"JL. NASIONAL MEULABOH-TAPAK TUAN KM. 28,5 UJUNG PATIHAH KABUPATEN NAGAN RAYA","RS_RUJUKAN_PROVINSI","NAGAN RAYA, ACEH","ACEH"
"RS UMUM BHAKTI TIMAH","2001045",89,"(0717) 433027",-2.114138,106.109886,"JALAN BUKIT BARU NO. 1, PANGKALPINANG, TAMAN BUNGA, GERUNGGANG, KABUPATEN BANGKA, KEPULAUAN BANGKA BELITUNG 33131","RS_RUJUKAN_PROVINSI","KARIMUN, KEPULAUAN RIAU","KEPULAUAN RIAU"
" RS UMUM DAERAH KAB. BANGKA SELATAN","1905024",110,"",-2.927,108.065,"   JL. RAYA GADUNG DESA GADUNG KEC. TOBOALI ","RS_RUJUKAN_PROVINSI","BANGKA SELATAN, KEPULAUAN BANGKA BELITUNG","KEPULAUAN BANGKA BELITUNG"
"RS PERTAMINA DUMAI","1473024",32,"(0765) 443601",1.650862,101.424238,"BUKIT DATUK, DUMAI SEL., KOTA DUMAI, RIAU 28826","RS_RUJUKAN_PROVINSI","KOTA DUMAI, RIAU","RIAU"
"RS UMUM DAERAH TENRIAWARU BONE","7308041",300,"(0481) 21022",-4.537102,120.309254,"JL. DR. WAHIDIN SUDIROHUSODO WATAMPONE","RS_RUJUKAN_PROVINSI","BONE, SULAWESI SELATAN","SULAWESI SELATAN"
" RS UMUM TK.III BHAKTI WIRA TAMTAMA SMG","3374065",152,"",-6.9871,110.408,"JL. DR. SUTOMO NO.17, SEMARANG","RS_RUJUKAN_PROVINSI","KOTA SEMARANG, JAWA TENGAH","JAWA TENGAH"
"RS UMUM MUHAMMAD ALI KASIM","1113012",124,"",3.93448,97.3733,"JL.PANGUR-SANGIR, KEC DABUN GELANG","RS_RUJUKAN_PROVINSI","GAYO LUES, ACEH","ACEH"
"RS UMUM DAERAH PALMATAK","2003125",40,"0772-77231381",3.94565,108.143,"JALAN DATUK LAMIN NO. 03 DESA PAYALAMAN","RS_RUJUKAN_PROVINSI","KEPULAUAN ANAMBAS, KEPULAUAN RIAU","KEPULAUAN RIAU"
" RS UMUM TK III WIJAYAKUSUMA","3302030",235,"",-7.415317104937991,109.24517477989195,"JL. PROF.DR. HR BUNYAMIN PURWOKERTO","RS_RUJUKAN_PROVINSI","BANYUMAS, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH BARRU","7311010",186,"(0427) 21221",-4.417828,119.61172,"JL. LASAWEDI KEL.COPPO KEC.BARRU KAB.BARRU","RS_RUJUKAN_PROVINSI","BARRU, SULAWESI SELATAN","SULAWESI SELATAN"
"RS UMUM DAERAH POSO","7204010",260,"(0452) 2700199",-1.382954,120.760035,"JL. JENDERAL SUDIRMAN NO.33  KEL KASINTUWU POSO","RS_RUJUKAN_PROVINSI","POSO, SULAWESI TENGAH","SULAWESI TENGAH"
"RS UMUM DAERAH TONGAS","3513067",126,"(0335) 511118",-7.733924,113.114886,"JL. RAYA TONGAS NO. 229 KEC. TONGAS KAB. PROBOLINGGO","RS_RUJUKAN_PROVINSI","PROBOLINGGO, JAWA TIMUR","JAWA TIMUR"
"RS UMUM CITRA HUSADA JEMBER","3509136",114,"(0331) 486200",-8.166845,113.680667,"JL. TERATAI NO.22, GEBANG TIMUR, GEBANG, KEC. PATRANG, KABUPATEN JEMBER, JAWA TIMUR 68117","RS_RUJUKAN_PROVINSI","JEMBER, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DAERAH PESAWARAN","1809002",120,"0813-7963-1967",-5.386428,105.079843,"GEDUNG TATAAN, KEC. GEDONG TATAAN, KABUPATEN PESAWARAN, LAMPUNG 35366","RS_RUJUKAN_PROVINSI","PESAWARAN, LAMPUNG","LAMPUNG"
"RS UMUM DAERAH IR. SOEKARNO KABUPATEN SUKOHARJO","3311016",253,"(0271) 593118",-7.683414,110.849913,"JALAN DOKTER MUWARDI NO.71, BULUSARI, GAYAM, KEC. SUKOHARJO","RS_RUJUKAN_PROVINSI","SUKOHARJO, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH MAREN KOTA TUAL","8172002",58,"",-5.567894,132.765895,"DESA DULLAH, KEC. P. DULLAH UTARA, 97613, DULLAH DARAT, NORTH DULLAH ISLAND, TUAL CITY, MALUKU","RS_RUJUKAN_PROVINSI","KOTA TUAL, MALUKU","MALUKU"
"RS UMUM ABEPURA","9271023",265,"(0967) 581064",-2.614898,140.669874,"JL. KESEHATAN NO.1, YOBE, ABEPURA, KOTA JAYAPURA, PAPUA 99351","RS_RUJUKAN_PROVINSI","KOTA JAYAPURA, PAPUA","PAPUA"
"RS UMUM DAERAH MAJALAYA","3204016",269,"(022) 5950035",-7.0486,107.772,"JL. RAYA CIPAKU NO.87 MAJALAYA KABUPATEN BANDUNG","RS_RUJUKAN_PROVINSI","BANDUNG, JAWA BARAT","JAWA BARAT"
"RS TK.IV WIRASAKTI KUPANG","5303022",116,"(0380) 821131",-10.184,123.595,"JL. DR.DR.MOCH HATTA NO.9-11 ,KUPANG","RS_RUJUKAN_PROVINSI","KUPANG, NUSA TENGGARA TIMUR","NUSA TENGGARA TIMUR"
"RS UMUM DAERAH JAILOLO","8201021",106,"",1.091275,127.479442,"JL.IR. SOEKARNO DS. ACANGO-JAILOLO,HALMAHERA BARAT","RS_RUJUKAN_PROVINSI","HALMAHERA BARAT, MALUKU UTARA","MALUKU UTARA"
"RS UMUM DAERAH DR. SOEDOMO TRENGGALEK","3503011",298,"(0355) 793118",-8.05878,111.703845,"JL. DR SUTOMO NOMOR 2 TRENGGALEK","RS_RUJUKAN_PROVINSI","TRENGGALEK, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DAERAH DR. ABDUL RIVAI","6405011",218,"(0554) 21098",2.16233,117.696,"JL. PULAU PANJANG NO.276 TANJUNG REDEB","RS_RUJUKAN_PROVINSI","BERAU, KALIMANTAN TIMUR","KALIMANTAN TIMUR"
"RS UMUM DAERAH GUNUNGSITOLI","1201016",294,"(0639) 21474",1.289064,97.614186,"JL DR. CIPTOMANGUNKUSUMO NO. 15 GUNUNGSITOLI","RS_RUJUKAN_PROVINSI","NIAS, SUMATERA UTARA","SUMATERA UTARA"
"RS DIAN HARAPAN","9271056",162,"(0967) 572123",-2.590601,140.643178,"JL. TERUNA BAKTI YABANSAI WAENA, YABANSAI, HERAM, KOTA JAYAPURA, PAPUA 99358","RS_RUJUKAN_PROVINSI","KOTA JAYAPURA, PAPUA","PAPUA"
"RS UMUM DAERAH PARIAMAN","1306015",170,"(0751) 91428",-0.630871,100.125874,"JALAN PROF. YAMIN SH NO. 5, KP. BARU, PARIAMAN TENGAH, KOTA PARIAMAN, SUMATERA BARAT 25514","RS_RUJUKAN_PROVINSI","KOTA PARIAMAN, SUMATERA BARAT","SUMATERA BARAT"
"RS UMUM DAERAH DR. M ASHARI PEMALANG","3327010",360,"",-6.910589846727,109.3817285238," JL. GATOT SUBROTO NO.41,PEMALANG","RS_RUJUKAN_PROVINSI","PEMALANG, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH  INDRASARI RENGAT","1402012",158,"",-0.394442,102.441806,"PEMATANG REBA, RENGAT BAR., KABUPATEN INDRAGIRI HULU, RIAU 29351","RS_RUJUKAN_PROVINSI","INDRAGIRI HULU, RIAU","RIAU"
"RS UMUM  EKA HOSPITAL PEKANBARU","1471067",184,"",0.48226,101.419,"JL SOEKARNO- HATTA KM.6,5","RS_RUJUKAN_PROVINSI","KOTA PEKANBARU, RIAU","RIAU"
"RS UMUM DAERAH MUARA DUA","1608051",81,"0812-7241-9993",-4.584656,104.051825,"RANTAU PANJANG, BUAY RAWAN, KABUPATEN OGAN KOMERING ULU SELATAN, SUMATERA SELATAN 32211","RS_RUJUKAN_PROVINSI","OGAN KOMERING ULU SELATAN, SUMATERA SELATAN","SUMATERA SELATAN"
"RS UMUM DAERAH ARJAWINANGUN","3209040",444,"0231-358335",-6.6528,108.412,"JL. PALIMANAN - JAKARTA KM. 2 NO. 1  ARJAWINANGUN","RS_RUJUKAN_PROVINSI","CIREBON, JAWA BARAT","JAWA BARAT"
"RS UMUM ISLAM HARAPAN ANDA","3376082",360,"(0283) 358244",-6.87637,109.128435,"JL. ABABIL NO.42,TEGAL","RS_RUJUKAN_PROVINSI","KOTA TEGAL, JAWA TENGAH","JAWA TENGAH"
"RS UMUM PRAYA","5202011",268,"0370-654865",-8.702045,116.295128,"JL. H. LALU HASYIM, KELURAHAN TIWU GALIH, PRAYA","RS_RUJUKAN_PROVINSI","LOMBOK TENGAH, NUSA TENGGARA BARAT","NUSA TENGGARA BARAT"
"RS UMUM DAERAH H. PADJONGA DG. NGALLE TAKALAR","7305012",306,"(0418) 21065",-5.421726,119.439628,"JL. H. INCE HUSAIN DG PARANI NO 1, KAB TAKALAR","RS_RUJUKAN_PROVINSI","TAKALAR, SULAWESI SELATAN","SULAWESI SELATAN"
"RS UMUM DAERAH TULANG BAWANG BARAT","1812003",51,"(0726) 7575438",-4.495847,105.094901,"JL. DIPONEGORO PANARAGAN JAYA KEC. TULANG BAWANG TENGAH","RS_RUJUKAN_PROVINSI","TULANG BAWANG BARAT, LAMPUNG","LAMPUNG"
"RS UMUM DAERAH LASINRANG PINRANG","7315014",200,"(0421) 921298",-3.81028,119.654905,"JL. MACAN NO. 22 PINRANG","RS_RUJUKAN_PROVINSI","PINRANG, SULAWESI SELATAN","SULAWESI SELATAN"
"RS PREMIER SURABAYA","3578556",214,"(031) 5993211",-7.304471,112.76525,"JL. NGINDEN INTAN BARAT NO.B, NGENDEN JANGKUNGAN, KEC. SUKOLILO, KOTA SBY, JAWA TIMUR 60118","RS_RUJUKAN_PROVINSI","KOTA SURABAYA, JAWA TIMUR","JAWA TIMUR"
" RS UMUM DAERAH DR. R.SOEDJATI SOEMODIARDJO","3315013",479,"",-7.0832,110.915," JL. D.I PANJAITAN 36,PURWODADI - GROBOGAN 58111","RS_RUJUKAN_PROVINSI","GROBOGAN, JAWA TENGAH","JAWA TENGAH"
"RS PERKEBUNAN PTPN X (PERSERO) JEMBER","3509021",158,"0811-3510-033",-8.168197,113.705064,"JL. BEDADUNG NO.2","RS_RUJUKAN_PROVINSI","JEMBER, JAWA TIMUR","JAWA TIMUR"
"RS UMUM URIP SUMOHARJO","1871405",429,"(0721) 771322",-5.390998,105.276925,"JL. URIP SUMOHARJO NO.200, GN. SULAH, WAY HALIM, KOTA BANDAR LAMPUNG, LAMPUNG 35132","RS_RUJUKAN_PROVINSI","KOTA BANDAR LAMPUNG, LAMPUNG","LAMPUNG"
"RS UMUM DAERAH DR. SOEDIRMAN KABUPATEN KEBUMEN","3305011",312,"",-7.6952,109.663,"JL. LINGKAR SELATAN, MUKTISARI KEBUMEN","RS_RUJUKAN_PROVINSI","KEBUMEN, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH H. HANAFIE","1509013",209,"",-1.5094,101.961,"JL. TEUKU UMAR 88  MUARA BUNGO","RS_RUJUKAN_PROVINSI","BUNGO, JAMBI","JAMBI"
"RS UMUM DAERAH SYARIFAH AMBAMI RATO EBU","3526011",293,"(031) 3095088",-7.029034,112.759572,"JL. PEMUDA KAFFA NO. 9 BANGKALAN","RS_RUJUKAN_PROVINSI","BANGKALAN, JAWA TIMUR","JAWA TIMUR"
" RS UMUM TK II DR. SOEDJONO","3371025",253,"",-7.4683,110.227," JL. URIP SUMOHARJO 48, MAGELANG","RS_RUJUKAN_PROVINSI","KOTA MAGELANG, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH  KABUPATEN KEPULAUAN MERANTI","1410043",145,"",0.9201,102.67,"JL DORAK","RS_RUJUKAN_PROVINSI","KEPULAUAN MERANTI, RIAU","RIAU"
"RS UMUM DAERAH DR. TJITROWARDOJO PURWOREJO","3306012",362,"",-7.7196,109.996,"  JL. JEN SUDIRMAN NO.60 PURWOREJO","RS_RUJUKAN_PROVINSI","PURWOREJO, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH PATUT PATUH PATJU","5201010",144,"(0370) 681321",-8.6913,116.112,"JL. H. LALU ANGGRAT BA NO. 2 GERUNG","RS_RUJUKAN_PROVINSI","LOMBOK BARAT, NUSA TENGGARA BARAT","NUSA TENGGARA BARAT"
"RS UMUM DAERAH SUKADANA","1804011",135,"(0725) 625326",-5.075633,105.526884,"MATARAM MARGA, SUKADANA, KABUPATEN LAMPUNG TIMUR, LAMPUNG 34182","RS_RUJUKAN_PROVINSI","LAMPUNG TIMUR, LAMPUNG","LAMPUNG"
"RS DAERAH DR. HARYOTO KABUPATEN LUMAJANG","3508016",375,"(0334) 881666",-8.121906,113.227554,"JL. JENDRAL AHMAD YANI NO.5, TOMPOKERSAN, KEC. LUMAJANG","RS_RUJUKAN_PROVINSI","LUMAJANG, JAWA TIMUR","JAWA TIMUR"
"RS TNI ANGKATAN LAUT DR. SOEDIBJO SARDADI","9203015",89,"(0967) 532146",-2.5685438670849,140.70942982045,"JL. AMPHIBI NO.1 HAMADI JAYAPURA","RS_RUJUKAN_PROVINSI","KOTA JAYAPURA, PAPUA","PAPUA"
" RS UMUM DAERAH DR. SOEDIRAN MANGUN SUMARSO WONOGI","3312010",361,"",-7.804818999999994,110.91588661813807," JL. JEND A YANI NO. 40,GIRIWONO, WONOGIRI, JATENG","RS_RUJUKAN_PROVINSI","WONOGIRI, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH PALEMBANG BARI","1671265",252,"(0711) 519211",-3.010647,104.768294,"JL. PANCA USAHA NO.1, 5 ULU, KECAMATAN SEBERANG ULU I, KOTA PALEMBANG, SUMATERA SELATAN 30254","RS_RUJUKAN_PROVINSI","KOTA PALEMBANG, SUMATERA SELATAN","SUMATERA SELATAN"
"RS UMUM MYRIA PALEMBANG","1671276",117,"(0711) 411610",-2.941073,104.726107,"JL. KOL. H. BURLIAN NO.228, SUKARAMI, KEC. SUKARAMI, KOTA PALEMBANG, SUMATERA SELATAN 30961","RS_RUJUKAN_PROVINSI","KOTA PALEMBANG, SUMATERA SELATAN","SUMATERA SELATAN"
"RS UMUM PANTI RAHAYU","3403023",47,"(0274) 2901454",-7.955746,110.658416,"JL WONOSARI-PONJONG KM 7 KELOR KARANGMOJO GUNUNGKIDUL","RS_RUJUKAN_PROVINSI","GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM GRAHA HUSADA","1871416",140,"(0721) 240000",-5.413183,105.268076,"JALAN GAJAH MADA NO. 6 GH, TJ. AGUNG RAYA, KEDAMAIAN, KOTA BANDAR LAMPUNG, LAMPUNG 35128","RS_RUJUKAN_PROVINSI","KOTA BANDAR LAMPUNG, LAMPUNG","LAMPUNG"
"RS JIWA MENUR","3578192",432,"(031) 5021635",-7.28614,112.761745,"JL. MENUR NO. 120 SURABAYA","RS_RUJUKAN_PROVINSI","KOTA SURABAYA, JAWA TIMUR","JAWA TIMUR"
"RS UMUM  PRIMA PEKANBARU","1471397",191,"(0761) 8419007",0.4970286173906,101.400319626,"JL BIMA NO.1 TUANKU TAMBUSAI KEL. DELIMA KEC. TAMPAN","RS_RUJUKAN_PROVINSI","KOTA PEKANBARU, RIAU","RIAU"
"RS BETHESDA YOGYAKARTA","3471063",436,"(0274) 586688",-7.783811,110.377696,"JL JEND. SUDIRMAN NO. 70 KOTABARU YOGYAKARTA","RS_RUJUKAN_PROVINSI","KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM DAERAH RATU AJI PUTRI BOTUNG","6409036",139,"0542 7211361",1.64063,116.419,"JL PROPINSI KM 9 KAB. PENAJAM PASER UTARA","RS_RUJUKAN_PROVINSI","PENAJAM PASER UTARA, KALIMANTAN TIMUR","KALIMANTAN TIMUR"
"RS UMUM DAERAH DR. (H.C.) IR. SOEKARNO","1901043",124,"(0717) 9106753",-2.00695,106.143663,"JL. ZIPUR DESA AIR ANYIR KEC, RIDING PANJANG, MERAWANG, KABUPATEN BANGKA, KEPULAUAN BANGKA BELITUNG 33172","RS_RUJUKAN_PROVINSI","BANGKA, KEPULAUAN BANGKA BELITUNG","KEPULAUAN BANGKA BELITUNG"
"RS UMUM DAERAH WAINGAPU","5302023",173,"(0387) 61302",-9.6628,120.267,"JL. ADAM MALIK NO.54 KEL. KAMBAJAWA - KECAMATAN KOTA WAINGAPU","RS_RUJUKAN_PROVINSI","SUMBA TIMUR, NUSA TENGGARA TIMUR","NUSA TENGGARA TIMUR"
"RS UMUM DAERAH NEGARA","5101016",160,"0365-41006",-8.3541,114.622,"JL. WIJAYA KUSUMA 17 NEGARA","RS_RUJUKAN_PROVINSI","JEMBRANA, BALI","BALI"
"RS BHAYANGKARA BATAM POLDA KEPRI","2171061",80,"(0778) 7760046",1.14388,104.12046,"JL. DANG MERDU KM 2 BATU BESAR NONGSA KOTA BATAM","RS_RUJUKAN_PROVINSI","KOTA BATAM, KEPULAUAN RIAU","KEPULAUAN RIAU"
"RS UMUM DAERAH KOTA TANJUNG PINANG","2072012",150,"(0771) 313000",0.925669,104.442493,"JL. SUDIRMAN NO.- 795, TANJUNGPINANG BAR., KOTA TANJUNG PINANG, KEPULAUAN RIAU","RS_RUJUKAN_PROVINSI","KOTA TANJUNGPINANG, KEPULAUAN RIAU","KEPULAUAN RIAU"
"RS UMUM DAERAH DR. H. M. RABAIN MUARA ENIM","1603063",321,"(0734) 424345",-3.666781,103.773149,"JALAN SULTAN MAHMUD BADARUDDIN II NO. 48, AIR LINTANG, KECAMATAN MUARA ENIM, PS. II MUARA ENIM, KEC. MUARA ENIM, KABUPATEN MUARA ENIM, SUMATERA SELATAN 31314","RS_RUJUKAN_PROVINSI","MUARA ENIM, SUMATERA SELATAN","SUMATERA SELATAN"
"RS UMUM DAERAH CURUP","1702015",168,"",-3.4574,102.553,"JL. BASUKI RAHMAT NO.10, DWI TUNGGAL, CURUP, KABUPATEN REJANG LEBONG, BENGKULU 39119","RS_RUJUKAN_PROVINSI","REJANG LEBONG, BENGKULU","BENGKULU"
"RS AL JALA AMMARI MAKASSAR","7371074",96,"(0411) 3617625",-5.115492,119.416688,"JL. SATANDO  NO 27 KEL TAMALABBA KEC UJUNG TANAH","RS_RUJUKAN_PROVINSI","KOTA MAKASSAR, SULAWESI SELATAN","SULAWESI SELATAN"
"RS UMUM LIUN KENDAGE","7103015",200,"(0432) 24410",3.608424,125.482014,"JALAN TATEHE KELURAHAN APENGSEMBEKA KECAMATAN TAHUNA","RS_RUJUKAN_PROVINSI","KEPULAUAN SANGIHE, SULAWESI UTARA","SULAWESI UTARA"
"RS HERMINA PEKANBARU","1471399",58,"(0761) 8412020",0.499646,101.412281,"JL. TUANKU TAMBUSAI NO.RT03/02, DELIMA, KEC. TAMPAN, KOTA PEKANBARU, RIAU 28292","RS_RUJUKAN_PROVINSI","KOTA PEKANBARU, RIAU","RIAU"
"RS PERTAMINA KOTA PRABUMULIH","1672026",84,"(0713) 382742",-3.434912,104.226215,"JL. KESEHATAN RAYA NO.100, MUNTANG TAPUS, PRABUMULIH BAR., KOTA PRABUMULIH, SUMATERA SELATAN 31122","RS_RUJUKAN_PROVINSI","KOTA PRABUMULIH, SUMATERA SELATAN","SUMATERA SELATAN"
"RS UMUM DAERAH ALIMUDDIN UMAR","1801015",137,"0728 21651",-5.032886,104.072779,"JL. TEUKU UMAR, KUBU PERAHU, BALIK BUKIT","RS_RUJUKAN_PROVINSI","LAMPUNG BARAT, LAMPUNG","LAMPUNG"
"RS UMUM DAERAH R. A. KARTINI","3320010",444,"",-6.5973,110.675,"JL. K.H. WAHID HASYIM JEPARA","RS_RUJUKAN_PROVINSI","JEPARA, JAWA TENGAH","JAWA TENGAH"
"RS UMUM CAMATHA SAHIDYA","2071056",100,"(0778) 371002",1.073771,104.025223,"JALAN JENDRAL AHMAD YANI NO. 8, KELURAHAN MUKA KUNING, KECAMATAN SEI BEDUK, KABIL, NONGSA, KABIL, KECAMATAN NONGSA, KOTA BATAM, KEPULAUAN RIAU 29433","RS_RUJUKAN_PROVINSI","KOTA BATAM, KEPULAUAN RIAU","KEPULAUAN RIAU"
"RS UMUM DAERAH MAYJEN H. A. THALIB","1501012",177,"",-2.058507,101.391242,"KOTO TINGGI, SUNGAI PENUH, KOTA SUNGAI PENUH, JAMBI 37152","RS_RUJUKAN_PROVINSI","KERINCI, JAMBI","JAMBI"
"RS UMUM ISLAM SURABAYA JEMURSARI ","3578224",249,"",-7.3227,112.74,"JL. JEMURSAI 51 - 57, SURABAYA ","RS_RUJUKAN_PROVINSI","KOTA SURABAYA, JAWA TIMUR","JAWA TIMUR"
"RS UMUM MUHAMMADIYAH LAMONGAN","3524031",253,"(0322) 322834",-7.108896,112.404259,"JL. JAKSA AGUNG SUPRAPTO NO 76 LAMONGAN","RS_RUJUKAN_PROVINSI","LAMONGAN, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DAERAH MUARA TEWEH","6205011",141,"0519 21051",-1.4333,114.45,"JL. YETRO SINSENG MUARA TEWEH","RS_RUJUKAN_PROVINSI","BARITO UTARA, KALIMANTAN TENGAH","KALIMANTAN TENGAH"
"RS AWAL BROS A. YANI","1471384",192,"(0761) 21000",0.521117,101.443357,"JL A. YANI NO. 73","RS_RUJUKAN_PROVINSI","KOTA PEKANBARU, RIAU","RIAU"
